, 13.1.2025, 10:56
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 4.8828e+02	 4.6140e+02	 1.7876e+00	 3.3756e-02	 9.1651e-12	-2.1385e-10	 1.3979e-11	 1.2349e+09	 2.9081e+02	 4.9875e+02
 2.4414e+02	 4.6140e+02	 1.7987e+00	 3.4641e-02	 4.7028e-12	-1.0843e-10	 1.4065e-11	 2.4066e+09	 2.9093e+02	 5.0151e+02
 1.2207e+02	 4.6140e+02	 1.8099e+00	 4.1605e-02	 2.8241e-12	-5.4978e-11	 1.4153e-11	 4.0076e+09	 2.9108e+02	 5.0406e+02
 6.1035e+01	 4.6140e+02	 1.8251e+00	 5.0050e-02	 1.6987e-12	-2.8003e-11	 1.4272e-11	 6.6627e+09	 2.9119e+02	 5.0676e+02
 3.0518e+01	 4.6140e+02	 1.8441e+00	 6.4487e-02	 1.0943e-12	-1.4324e-11	 1.4420e-11	 1.0342e+10	 2.9135e+02	 5.0981e+02
 1.5259e+01	 4.6140e+02	 1.8705e+00	 9.3319e-02	 7.9180e-13	-7.3859e-12	 1.4626e-11	 1.4294e+10	 2.9151e+02	 5.1258e+02
 7.6294e+00	 4.6140e+02	 1.9080e+00	 1.4083e-01	 5.9746e-13	-3.8521e-12	 1.4920e-11	 1.8943e+10	 2.9160e+02	 5.1501e+02
 1.9073e+00	 4.6140e+02	 2.0344e+00	 2.9689e-01	 3.1489e-13	-1.0971e-12	 1.5908e-11	 3.5942e+10	 2.9177e+02	 5.1779e+02
 4.7684e-01	 4.6140e+02	 2.3895e+00	 5.1032e-01	 1.3531e-13	-3.6842e-13	 1.8685e-11	 8.3642e+10	 2.9265e+02	 5.3701e+02
 1.0000e-01	 4.6140e+02	 3.2064e+00	 6.7064e-01	 3.7292e-14	-1.2269e-13	 2.5073e-11	 3.0349e+11	 2.9479e+02	 5.9262e+02
 1.0000e+06	 5.8990e+02	 1.6440e+00	 1.8527e-01	 1.0302e-07	-3.5810e-07	 1.2855e-11	 1.0986e+05	 2.9493e+02	 5.9668e+02
 5.0000e+05	 5.8990e+02	 1.6726e+00	 1.0776e-01	 2.9960e-08	-1.8699e-07	 1.3079e-11	 3.7776e+05	 2.9500e+02	 5.9912e+02
 2.5000e+05	 5.8990e+02	 1.6825e+00	 6.3590e-02	 8.8400e-09	-9.4879e-08	 1.3157e-11	 1.2803e+06	 2.9512e+02	 6.0187e+02
 1.2500e+05	 5.8990e+02	 1.6994e+00	 4.0062e-02	 2.7846e-09	-4.8615e-08	 1.3289e-11	 4.0644e+06	 2.9519e+02	 6.0443e+02
 6.2500e+04	 5.8990e+02	 1.7144e+00	 3.3917e-02	 1.1788e-09	-2.4827e-08	 1.3406e-11	 9.6014e+06	 2.9529e+02	 6.0750e+02
 3.1250e+04	 5.8990e+02	 1.7241e+00	 3.1767e-02	 5.5201e-10	-1.2583e-08	 1.3482e-11	 2.0503e+07	 2.9541e+02	 6.1029e+02
 1.5625e+04	 5.8990e+02	 1.7387e+00	 3.0619e-02	 2.6603e-10	-6.4178e-09	 1.3596e-11	 4.2543e+07	 2.9547e+02	 6.1293e+02
 7.8125e+03	 5.8990e+02	 1.7559e+00	 3.3115e-02	 1.4386e-10	-3.2839e-09	 1.3731e-11	 7.8673e+07	 2.9558e+02	 6.1558e+02
 3.9062e+03	 5.8990e+02	 1.7644e+00	 3.1689e-02	 6.8832e-11	-1.6604e-09	 1.3797e-11	 1.6442e+08	 2.9565e+02	 6.1812e+02
 1.9531e+03	 5.8990e+02	 1.7789e+00	 3.3828e-02	 3.6739e-11	-8.4593e-10	 1.3910e-11	 3.0806e+08	 2.9576e+02	 6.2084e+02
 9.7656e+02	 5.8990e+02	 1.7937e+00	 3.4826e-02	 1.8912e-11	-4.3101e-10	 1.4026e-11	 5.9845e+08	 2.9583e+02	 6.2337e+02
 4.8828e+02	 5.8990e+02	 1.8090e+00	 3.9402e-02	 1.0698e-11	-2.1965e-10	 1.4146e-11	 1.0579e+09	 2.9593e+02	 6.2623e+02
 2.4414e+02	 5.8990e+02	 1.8240e+00	 4.5191e-02	 6.1350e-12	-1.1187e-10	 1.4263e-11	 1.8448e+09	 2.9601e+02	 6.2881e+02
 1.2207e+02	 5.8990e+02	 1.8433e+00	 5.6282e-02	 3.8203e-12	-5.7240e-11	 1.4414e-11	 2.9625e+09	 2.9610e+02	 6.3187e+02
 6.1035e+01	 5.8990e+02	 1.8674e+00	 7.2953e-02	 2.4760e-12	-2.9438e-11	 1.4602e-11	 4.5710e+09	 2.9620e+02	 6.3461e+02
