, 10.1.2025, 14:1
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 1.0000e-01	 4.3600e+02	 4.0721e+00	 4.3275e-01	 2.4064e-14	-1.7083e-13	 3.1842e-11	 4.7032e+11	 3.4314e+02	 5.4602e+02
 1.0000e+06	 5.4330e+02	 1.6829e+00	 1.6264e-02	 9.0437e-09	-3.7976e-07	 1.3160e-11	 1.2514e+06	 3.4315e+02	 5.5002e+02
 5.0000e+05	 5.4330e+02	 1.6904e+00	 1.9963e-02	 5.5502e-09	-1.9195e-07	 1.3218e-11	 2.0392e+06	 3.4315e+02	 5.5252e+02
 2.5000e+05	 5.4330e+02	 1.6955e+00	 2.4691e-02	 3.4324e-09	-9.6691e-08	 1.3258e-11	 3.2973e+06	 3.4315e+02	 5.5519e+02
 1.2500e+05	 5.4330e+02	 1.7080e+00	 2.8464e-02	 1.9785e-09	-4.9213e-08	 1.3356e-11	 5.7204e+06	 3.4314e+02	 5.5775e+02
 6.2500e+04	 5.4330e+02	 1.7224e+00	 3.1092e-02	 1.0806e-09	-2.5106e-08	 1.3468e-11	 1.0474e+07	 3.4314e+02	 5.6044e+02
 3.1250e+04	 5.4330e+02	 1.7361e+00	 3.1173e-02	 5.4168e-10	-1.2792e-08	 1.3576e-11	 2.0893e+07	 3.4315e+02	 5.6300e+02
 1.5625e+04	 5.4330e+02	 1.7500e+00	 3.1131e-02	 2.7048e-10	-6.5163e-09	 1.3684e-11	 4.1843e+07	 3.4315e+02	 5.6573e+02
 7.8125e+03	 5.4330e+02	 1.7635e+00	 3.1316e-02	 1.3604e-10	-3.3169e-09	 1.3790e-11	 8.3192e+07	 3.4315e+02	 5.6820e+02
 3.9062e+03	 5.4330e+02	 1.7759e+00	 3.2468e-02	 7.0525e-11	-1.6853e-09	 1.3887e-11	 1.6048e+08	 3.4315e+02	 5.7077e+02
 1.9531e+03	 5.4330e+02	 1.7893e+00	 3.5525e-02	 3.8583e-11	-8.5720e-10	 1.3991e-11	 2.9334e+08	 3.4315e+02	 5.7337e+02
 9.7656e+02	 5.4330e+02	 1.8032e+00	 4.1349e-02	 2.2454e-11	-4.3616e-10	 1.4100e-11	 5.0404e+08	 3.4315e+02	 5.7581e+02
 4.8828e+02	 5.4330e+02	 1.8195e+00	 5.1039e-02	 1.3858e-11	-2.2251e-10	 1.4228e-11	 8.1670e+08	 3.4315e+02	 5.7864e+02
 2.4414e+02	 5.4330e+02	 1.8402e+00	 6.6506e-02	 9.0287e-12	-1.1407e-10	 1.4390e-11	 1.2535e+09	 3.4316e+02	 5.8133e+02
 1.2207e+02	 5.4330e+02	 1.8659e+00	 9.0322e-02	 6.1310e-12	-5.8778e-11	 1.4591e-11	 1.8460e+09	 3.4315e+02	 5.8419e+02
 6.1035e+01	 5.4330e+02	 1.9001e+00	 1.2723e-01	 4.3180e-12	-3.0548e-11	 1.4858e-11	 2.6211e+09	 3.4315e+02	 5.8687e+02
 3.0518e+01	 5.4330e+02	 1.9486e+00	 1.8426e-01	 3.1269e-12	-1.6097e-11	 1.5237e-11	 3.6194e+09	 3.4315e+02	 5.8981e+02
 1.5259e+01	 5.4330e+02	 2.0224e+00	 2.7136e-01	 2.3024e-12	-8.6747e-12	 1.5814e-11	 4.9155e+09	 3.4315e+02	 5.9272e+02
 7.6294e+00	 5.4330e+02	 2.1403e+00	 3.9837e-01	 1.6901e-12	-4.8375e-12	 1.6736e-11	 6.6967e+09	 3.4315e+02	 5.9520e+02
 1.9073e+00	 5.4330e+02	 2.6535e+00	 7.3849e-01	 7.8325e-13	-1.7538e-12	 2.0750e-11	 1.4450e+10	 3.4315e+02	 5.9852e+02
 4.7684e-01	 5.4330e+02	 3.5498e+00	 7.7470e-01	 2.0541e-13	-6.7608e-13	 2.7758e-11	 5.5097e+10	 3.4315e+02	 6.0852e+02
 1.0000e-01	 5.4330e+02	 4.0672e+00	 4.3624e-01	 2.4258e-14	-1.7056e-13	 3.1804e-11	 4.6656e+11	 3.4315e+02	 6.5345e+02
 1.0000e+06	 6.5070e+02	 1.6826e+00	 1.6219e-02	 9.0188e-09	-3.7956e-07	 1.3157e-11	 1.2549e+06	 3.4316e+02	 6.5750e+02
 5.0000e+05	 6.5070e+02	 1.6902e+00	 1.9802e-02	 5.5057e-09	-1.9191e-07	 1.3217e-11	 2.0556e+06	 3.4315e+02	 6.6000e+02
 2.5000e+05	 6.5070e+02	 1.6953e+00	 2.4439e-02	 3.3974e-09	-9.6662e-08	 1.3257e-11	 3.3312e+06	 3.4315e+02	 6.6294e+02
 1.2500e+05	 6.5070e+02	 1.7077e+00	 2.8257e-02	 1.9641e-09	-4.9188e-08	 1.3353e-11	 5.7624e+06	 3.4316e+02	 6.6550e+02
 6.2500e+04	 6.5070e+02	 1.7219e+00	 3.0813e-02	 1.0709e-09	-2.5087e-08	 1.3464e-11	 1.0569e+07	 3.4315e+02	 6.6822e+02
 3.1250e+04	 6.5070e+02	 1.7355e+00	 3.0927e-02	 5.3742e-10	-1.2780e-08	 1.3571e-11	 2.1059e+07	 3.4315e+02	 6.7081e+02
 1.5625e+04	 6.5070e+02	 1.7492e+00	 3.0919e-02	 2.6864e-10	-6.5095e-09	 1.3678e-11	 4.2129e+07	 3.4315e+02	 6.7350e+02
 7.8125e+03	 6.5070e+02	 1.7627e+00	 3.1088e-02	 1.3505e-10	-3.3134e-09	 1.3784e-11	 8.3801e+07	 3.4315e+02	 6.7594e+02
 3.9062e+03	 6.5070e+02	 1.7750e+00	 3.2212e-02	 6.9967e-11	-1.6835e-09	 1.3880e-11	 1.6176e+08	 3.4315e+02	 6.7870e+02
 1.9531e+03	 6.5070e+02	 1.7883e+00	 3.5224e-02	 3.8256e-11	-8.5616e-10	 1.3984e-11	 2.9584e+08	 3.4315e+02	 6.8112e+02
 9.7656e+02	 6.5070e+02	 1.8021e+00	 4.0887e-02	 2.2203e-11	-4.3558e-10	 1.4092e-11	 5.0975e+08	 3.4315e+02	 6.8356e+02
 4.8828e+02	 6.5070e+02	 1.8183e+00	 5.0404e-02	 1.3685e-11	-2.2218e-10	 1.4218e-11	 8.2698e+08	 3.4315e+02	 6.8620e+02
 2.4414e+02	 6.5070e+02	 1.8388e+00	 6.5479e-02	 8.8892e-12	-1.1388e-10	 1.4379e-11	 1.2732e+09	 3.4315e+02	 6.8889e+02
 1.2207e+02	 6.5070e+02	 1.8641e+00	 8.8890e-02	 6.0337e-12	-5.8656e-11	 1.4577e-11	 1.8757e+09	 3.4316e+02	 6.9175e+02
 6.1035e+01	 6.5070e+02	 1.8978e+00	 1.2530e-01	 4.2525e-12	-3.0470e-11	 1.4840e-11	 2.6614e+09	 3.4315e+02	 6.9444e+02
 3.0518e+01	 6.5070e+02	 1.9454e+00	 1.8091e-01	 3.0700e-12	-1.6043e-11	 1.5212e-11	 3.6866e+09	 3.4316e+02	 6.9756e+02
 1.5259e+01	 6.5070e+02	 2.0177e+00	 2.6632e-01	 2.2596e-12	-8.6352e-12	 1.5778e-11	 5.0086e+09	 3.4316e+02	 7.0028e+02
 7.6294e+00	 6.5070e+02	 2.1330e+00	 3.9160e-01	 1.6613e-12	-4.8067e-12	 1.6679e-11	 6.8124e+09	 3.4315e+02	 7.0278e+02
